task_name,seed,protocol_id,beta,schedule,spatial_mode,duration_s,current_uA,pulse_width_us,total_pulses,baseline_score,trained_score,training_score_delta,naive_weight_control_score,naive_weight_control_minus_trained_score,naive_weight_control_minus_no_reset_score,naive_weight_control_positive_response_probability,naive_weight_control_negative_response_probability,training_repetitions,initial_trials_to_criterion,initial_trials_for_savings,training_reached_criterion,training_stop_at_criterion,training_history,training_elapsed_s,consolidation_rest_s,consolidation_neuron_spikes,reset_score,no_reset_score,reset_minus_no_reset_score,forgetting_score,criterion_score,score_drop,criterion_forget,made_forget,reset_positive_response_probability,no_reset_positive_response_probability,reset_negative_response_probability,no_reset_negative_response_probability,trained_delta_norm,naive_weight_control_displacement_norm,reset_post_minus_trained_norm,no_reset_post_minus_trained_norm,reset_minus_no_reset_weight_norm,weight_erasure_reset,weight_erasure_no_reset,residual_trace_correlation_reset,residual_trace_correlation_no_reset,erasure_projection_reset_vs_no_reset,reset_window_neuron_spikes_reset,reset_window_neuron_spikes_no_reset,reset_window_neuron_spikes_delta,baseline_positive_response_probability,baseline_negative_response_probability,baseline_positive_target_spikes_per_trial,baseline_negative_target_spikes_per_trial,baseline_a_correct_response_probability,baseline_a_correct_target_spikes_per_trial,baseline_a_correct_total_spikes_per_trial,baseline_a_correct_mean_first_latency_ms,baseline_b_correct_response_probability,baseline_b_correct_target_spikes_per_trial,baseline_b_correct_total_spikes_per_trial,baseline_b_correct_mean_first_latency_ms,baseline_a_crossed_response_probability,baseline_a_crossed_target_spikes_per_trial,baseline_a_crossed_total_spikes_per_trial,baseline_a_crossed_mean_first_latency_ms,baseline_b_crossed_response_probability,baseline_b_crossed_target_spikes_per_trial,baseline_b_crossed_total_spikes_per_trial,baseline_b_crossed_mean_first_latency_ms,trained_positive_response_probability,trained_negative_response_probability,trained_positive_target_spikes_per_trial,trained_negative_target_spikes_per_trial,trained_a_correct_response_probability,trained_a_correct_target_spikes_per_trial,trained_a_correct_total_spikes_per_trial,trained_a_correct_mean_first_latency_ms,trained_b_correct_response_probability,trained_b_correct_target_spikes_per_trial,trained_b_correct_total_spikes_per_trial,trained_b_correct_mean_first_latency_ms,trained_a_crossed_response_probability,trained_a_crossed_target_spikes_per_trial,trained_a_crossed_total_spikes_per_trial,trained_a_crossed_mean_first_latency_ms,trained_b_crossed_response_probability,trained_b_crossed_target_spikes_per_trial,trained_b_crossed_total_spikes_per_trial,trained_b_crossed_mean_first_latency_ms,reset_positive_target_spikes_per_trial,reset_negative_target_spikes_per_trial,reset_a_correct_response_probability,reset_a_correct_target_spikes_per_trial,reset_a_correct_total_spikes_per_trial,reset_a_correct_mean_first_latency_ms,reset_b_correct_response_probability,reset_b_correct_target_spikes_per_trial,reset_b_correct_total_spikes_per_trial,reset_b_correct_mean_first_latency_ms,reset_a_crossed_response_probability,reset_a_crossed_target_spikes_per_trial,reset_a_crossed_total_spikes_per_trial,reset_a_crossed_mean_first_latency_ms,reset_b_crossed_response_probability,reset_b_crossed_target_spikes_per_trial,reset_b_crossed_total_spikes_per_trial,reset_b_crossed_mean_first_latency_ms,no_reset_positive_target_spikes_per_trial,no_reset_negative_target_spikes_per_trial,no_reset_a_correct_response_probability,no_reset_a_correct_target_spikes_per_trial,no_reset_a_correct_total_spikes_per_trial,no_reset_a_correct_mean_first_latency_ms,no_reset_b_correct_response_probability,no_reset_b_correct_target_spikes_per_trial,no_reset_b_correct_total_spikes_per_trial,no_reset_b_correct_mean_first_latency_ms,no_reset_a_crossed_response_probability,no_reset_a_crossed_target_spikes_per_trial,no_reset_a_crossed_total_spikes_per_trial,no_reset_a_crossed_mean_first_latency_ms,no_reset_b_crossed_response_probability,no_reset_b_crossed_target_spikes_per_trial,no_reset_b_crossed_total_spikes_per_trial,no_reset_b_crossed_mean_first_latency_ms,naive_weight_control_positive_target_spikes_per_trial,naive_weight_control_negative_target_spikes_per_trial,naive_weight_control_a_correct_response_probability,naive_weight_control_a_correct_target_spikes_per_trial,naive_weight_control_a_correct_total_spikes_per_trial,naive_weight_control_a_correct_mean_first_latency_ms,naive_weight_control_b_correct_response_probability,naive_weight_control_b_correct_target_spikes_per_trial,naive_weight_control_b_correct_total_spikes_per_trial,naive_weight_control_b_correct_mean_first_latency_ms,naive_weight_control_a_crossed_response_probability,naive_weight_control_a_crossed_target_spikes_per_trial,naive_weight_control_a_crossed_total_spikes_per_trial,naive_weight_control_a_crossed_mean_first_latency_ms,naive_weight_control_b_crossed_response_probability,naive_weight_control_b_crossed_target_spikes_per_trial,naive_weight_control_b_crossed_total_spikes_per_trial,naive_weight_control_b_crossed_mean_first_latency_ms,relearn_measured,relearn_skipped_reason,relearn_trials,relearn_score,relearn_reached_criterion,relearn_savings,relearn_history,relearn_elapsed_s,job_elapsed_s
pattern_discrimination,1,b-2_alternating_blue_red_correlated_3s_10uA,-2.0,alternating_blue_red,correlated,3.0,10.0,160,565,0.0,1.0,1.0,0.0,-1.0,-1.0,0.0,0.0,80,20,20,True,False,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0.0625|0.3125|0.5|0.5|0.5|0.5|0.5|0.6875|0.8125|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,45.309171790999244,1.0,0,1.0,1.0,0.0,0.0,0.35,False,False,False,1.0,1.0,0.0,0.0,82.54391052186482,82.54391052186482,0.0,0.0,0.0,1.2114753644709708e-11,1.2114753644709708e-11,1.0,1.0,-0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,115.125,,0.0,0.0,132.625,,0.0,0.0,115.125,,0.0,0.0,132.625,,1.0,0.0,27.8125,0.0,1.0,23.0,303.875,4.0,1.0,32.625,308.5,4.0,0.0,0.0,303.875,,0.0,0.0,308.5,,28.125,0.0,1.0,22.875,303.375,4.0,1.0,33.375,309.0,4.0,0.0,0.0,303.375,,0.0,0.0,309.0,,28.1875,0.0,1.0,23.0,303.125,4.0,1.0,33.375,308.875,4.0,0.0,0.0,303.125,,0.0,0.0,308.875,,0.0,0.0,0.0,0.0,115.125,,0.0,0.0,133.875,,0.0,0.0,115.125,,0.0,0.0,133.875,,True,,0,1.0,True,1.0,1,0.45940170899848454,2.2224597500025993
pattern_discrimination,2,b-2_alternating_blue_red_correlated_3s_10uA,-2.0,alternating_blue_red,correlated,3.0,10.0,160,546,0.0,1.0,1.0,0.0,-1.0,-1.0,0.0,0.0,80,25,25,True,False,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0.375|0.5|0.5|0.5|0.5|0.5|0.5|0.625|0.875|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,45.14015879100771,1.0,0,1.0,1.0,0.0,0.0,0.35,False,False,False,1.0,1.0,0.0,0.0,83.49637404125369,83.49637404125369,0.0,0.0,0.0,1.1976641900446339e-11,1.1976641900446339e-11,1.0,1.0,-0.0,2,0,2,0.0,0.0,0.0,0.0,0.0,0.0,133.0,,0.0,0.0,123.0,,0.0,0.0,133.0,,0.0,0.0,123.0,,1.0,0.0,28.875,0.0,1.0,35.875,318.0,4.0,1.0,21.875,260.75,4.0,0.0,0.0,318.0,,0.0,0.0,260.75,,29.125,0.0,1.0,36.125,318.75,4.0,1.0,22.125,260.25,4.0,0.0,0.0,318.75,,0.0,0.0,260.25,,29.125,0.0,1.0,36.125,318.75,4.0,1.0,22.125,260.125,4.0,0.0,0.0,318.75,,0.0,0.0,260.125,,0.0,0.0,0.0,0.0,132.875,,0.0,0.0,122.875,,0.0,0.0,132.875,,0.0,0.0,122.875,,True,,0,1.0,True,1.0,1,0.45387183300044853,2.216423083009431
pattern_discrimination,3,b-2_alternating_blue_red_correlated_3s_10uA,-2.0,alternating_blue_red,correlated,3.0,10.0,160,546,0.0,1.0,1.0,0.0,-1.0,-1.0,0.0,0.0,80,26,26,True,False,0|0|-0.0625|-0.375|-0.5|-0.5|-0.5|-0.5|-0.5|-0.5|-0.5|-0.5|-0.5|-0.5|-0.5|-0.5|-0.5|-0.5|-0.5|-0.1875|-0.0625|0|0|0|0.0625|0.3125|0.5|0.5|0.75|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,45.67280104200472,1.0,0,1.0,1.0,0.0,0.0,0.35,False,False,False,1.0,1.0,0.0,0.0,88.61934937525956,88.61934937525956,0.0,0.0,0.0,1.1284306822290091e-11,1.1284306822290091e-11,0.9999999999999999,0.9999999999999999,-0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,119.75,,0.0,0.0,160.5,,0.0,0.0,119.75,,0.0,0.0,160.5,,1.0,0.0,42.1875,0.0,1.0,58.375,373.625,4.0,1.0,26.0,348.375,4.0,0.0,0.0,373.625,,0.0,0.0,348.375,,42.375,0.0,1.0,59.0,375.0,4.0,1.0,25.75,347.875,4.0,0.0,0.0,375.0,,0.0,0.0,347.875,,42.375,0.0,1.0,58.875,374.875,4.0,1.0,25.875,347.875,4.0,0.0,0.0,374.875,,0.0,0.0,347.875,,0.0,0.0,0.0,0.0,120.375,,0.0,0.0,161.0,,0.0,0.0,120.375,,0.0,0.0,161.0,,True,,0,1.0,True,1.0,1,0.46329095799592324,2.2350829579954734
pattern_discrimination,4,b-2_alternating_blue_red_correlated_3s_10uA,-2.0,alternating_blue_red,correlated,3.0,10.0,160,550,0.0,1.0,1.0,0.0,-1.0,-1.0,0.0,0.0,80,15,15,True,False,0|0|0|0|0|0|0|0|0|0|0|0|0.0625|0.25|0.3125|0.5|0.5|0.5|0.5|0.5|0.75|0.9375|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,45.6068822919915,1.0,0,1.0,1.0,0.0,0.0,0.35,False,False,False,1.0,1.0,0.0,0.0,86.36674070290816,86.36674070290816,0.0,0.0,0.0,1.157862694611822e-11,1.157862694611822e-11,1.0,1.0,-0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,135.25,,0.0,0.0,148.625,,0.0,0.0,135.25,,0.0,0.0,148.625,,1.0,0.0,38.25,0.0,1.0,38.625,357.75,4.0,1.0,37.875,328.0,4.0,0.0,0.0,357.75,,0.0,0.0,328.0,,37.8125,0.0,1.0,38.0,357.875,4.0,1.0,37.625,328.875,4.0,0.0,0.0,357.875,,0.0,0.0,328.875,,38.4375,0.0,1.0,38.125,357.875,4.0,1.0,38.75,328.0,4.0,0.0,0.0,357.875,,0.0,0.0,328.0,,0.0,0.0,0.0,0.0,134.75,,0.0,0.0,149.0,,0.0,0.0,134.75,,0.0,0.0,149.0,,True,,0,1.0,True,1.0,1,0.460541166990879,2.2228683340072166
pattern_discrimination,5,b-2_alternating_blue_red_correlated_3s_10uA,-2.0,alternating_blue_red,correlated,3.0,10.0,160,483,0.0,1.0,1.0,0.0,-1.0,-1.0,0.0,0.0,80,27,27,True,False,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0.375|0.5625|0.625|0.875|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,45.06163224999909,1.0,0,1.0,1.0,0.0,0.0,0.35,False,False,False,1.0,1.0,0.0,0.0,83.30392808112674,83.30392808112674,0.0,0.0,0.0,1.2004286453759505e-11,1.2004286453759505e-11,1.0,1.0,-0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,125.125,,0.0,0.0,110.75,,0.0,0.0,125.125,,0.0,0.0,110.75,,1.0,0.0,18.375,0.0,1.0,19.25,279.625,4.0,1.0,17.5,291.0,4.0,0.0,0.0,279.625,,0.0,0.0,291.0,,18.9375,0.0,1.0,20.5,282.875,4.0,1.0,17.375,293.0,4.0,0.0,0.0,282.875,,0.0,0.0,293.0,,18.4375,0.0,1.0,19.375,278.0,4.0,1.0,17.5,291.375,4.0,0.0,0.0,278.0,,0.0,0.0,291.375,,0.0,0.0,0.0,0.0,126.5,,0.0,0.0,110.25,,0.0,0.0,126.5,,0.0,0.0,110.25,,True,,0,1.0,True,1.0,1,0.4569026670069434,2.211696833008318
pattern_discrimination,6,b-2_alternating_blue_red_correlated_3s_10uA,-2.0,alternating_blue_red,correlated,3.0,10.0,160,589,0.0,1.0,1.0,0.0,-1.0,-1.0,0.0,0.0,80,13,13,True,False,0|0|0|0|0|0|0|0|0|0|0|0.0625|0.1875|0.4375|0.5|0.5|0.5|0.5|0.5|0.5|0.6875|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,45.19960529200034,1.0,0,1.0,1.0,0.0,0.0,0.35,False,False,False,1.0,1.0,0.0,0.0,84.68015544004975,84.68015544004975,0.0,0.0,0.0,1.1809220268332865e-11,1.1809220268332865e-11,0.9999999999999999,0.9999999999999999,-0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,132.0,,0.0,0.0,129.875,,0.0,0.0,132.0,,0.0,0.0,129.875,,1.0,0.0,22.875,0.0,1.0,23.0,316.5,4.0,1.0,22.75,274.875,4.0,0.0,0.0,316.5,,0.0,0.0,274.875,,23.125,0.0,1.0,22.75,316.25,4.0,1.0,23.5,275.375,4.0,0.0,0.0,316.25,,0.0,0.0,275.375,,23.1875,0.0,1.0,22.75,316.25,4.0,1.0,23.625,275.125,4.0,0.0,0.0,316.25,,0.0,0.0,275.125,,0.0,0.0,0.0,0.0,132.5,,0.0,0.0,129.5,,0.0,0.0,132.5,,0.0,0.0,129.5,,True,,0,1.0,True,1.0,1,0.4612993750051828,2.2423486670013517
pattern_discrimination,7,b-2_alternating_blue_red_correlated_3s_10uA,-2.0,alternating_blue_red,correlated,3.0,10.0,160,520,0.0,1.0,1.0,0.0,-1.0,-1.0,0.0,0.0,80,21,21,True,False,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0.3125|0.8125|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,48.671443708008155,1.0,0,1.0,1.0,0.0,0.0,0.35,False,False,False,1.0,1.0,0.0,0.0,82.68181507172744,82.68181507172744,0.0,0.0,0.0,1.209454758566153e-11,1.209454758566153e-11,0.9999999999999999,0.9999999999999999,-0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,132.625,,0.0,0.0,117.125,,0.0,0.0,132.625,,0.0,0.0,117.125,,1.0,0.0,25.6875,0.0,1.0,28.75,301.0,4.0,1.0,22.625,288.5,4.0,0.0,0.0,301.0,,0.0,0.0,288.5,,25.9375,0.0,1.0,28.375,300.0,4.0,1.0,23.5,289.375,4.0,0.0,0.0,300.0,,0.0,0.0,289.375,,25.875,0.0,1.0,28.375,300.0,4.0,1.0,23.375,288.875,4.0,0.0,0.0,300.0,,0.0,0.0,288.875,,0.0,0.0,0.0,0.0,133.25,,0.0,0.0,117.125,,0.0,0.0,133.25,,0.0,0.0,117.125,,True,,0,1.0,True,1.0,1,0.5089987090032082,2.454402500006836
pattern_discrimination,8,b-2_alternating_blue_red_correlated_3s_10uA,-2.0,alternating_blue_red,correlated,3.0,10.0,160,550,0.0,0.5,0.5,0.0,-0.5,-0.5,0.0,0.0,80,16,16,True,False,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0.0625|0.375|0.6875|0.875|0.9375|1|1|1|1|0.6875|0.5625|0.5|0.5|0.5|0.5|0.5|0.5|0.5|0.5|0.5|0.5|0.5|0.5|0.5|0.5|0.5|0.5|0.5|0.5|0.5|0.5|0.5|0.5|0.5|0.5|0.5|0.5|0.5|0.5625|0.6875|0.9375|1|1|1|1|1|1|1|1|1|1|0.9375|0.625|0.5|0.5|0.5|0.5|0.5|0.5|0.5|0.5|0.5|0.5|0.5|0.5|0.5,48.861761709005805,1.0,0,0.5,0.5,0.0,0.0,0.35,False,False,False,1.0,1.0,0.5,0.5,84.55586784158564,84.55586784158564,0.0,0.0,0.0,1.1826539747517018e-11,1.1826539747517018e-11,0.9999999999999999,0.9999999999999999,-0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,128.875,,0.0,0.0,118.25,,0.0,0.0,128.875,,0.0,0.0,118.25,,1.0,0.5,35.125,0.5,1.0,33.5,306.125,4.0,1.0,36.75,329.625,4.0,0.0,0.0,306.125,,1.0,1.0,329.625,5.0,35.125,0.5,1.0,33.625,306.125,4.0,1.0,36.625,332.75,4.0,0.0,0.0,306.125,,1.0,1.0,332.75,4.875,34.875,0.5,1.0,33.25,305.625,4.0,1.0,36.5,330.75,4.0,0.0,0.0,305.625,,1.0,1.0,330.75,5.0,0.0,0.0,0.0,0.0,129.125,,0.0,0.0,118.125,,0.0,0.0,129.125,,0.0,0.0,118.125,,True,,0,0.5,True,1.0,0.5,0.5040524999931222,2.440684875007719
pattern_discrimination,9,b-2_alternating_blue_red_correlated_3s_10uA,-2.0,alternating_blue_red,correlated,3.0,10.0,160,591,0.0,1.0,1.0,0.0,-1.0,-1.0,0.0,0.0,80,17,17,True,False,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0.3125|0.5|0.5|0.5|0.5|0.5|0.5|0.5|0.5|0.5|0.5|0.5|0.5|0.5625|0.8125|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,48.39903908300039,1.0,0,1.0,1.0,0.0,0.0,0.35,False,False,False,1.0,1.0,0.0,0.0,81.59427060819556,81.59427060819556,0.0,0.0,0.0,1.2255751968837103e-11,1.2255751968837103e-11,1.0,1.0,-0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,117.125,,0.0,0.0,119.625,,0.0,0.0,117.125,,0.0,0.0,119.625,,1.0,0.0,21.6875,0.0,1.0,21.625,267.0,4.0,1.0,21.75,260.375,4.0,0.0,0.0,267.0,,0.0,0.0,260.375,,22.0625,0.0,1.0,22.125,269.125,4.0,1.0,22.0,260.625,4.0,0.0,0.0,269.125,,0.0,0.0,260.625,,22.0625,0.0,1.0,22.125,268.75,4.0,1.0,22.0,260.375,4.0,0.0,0.0,268.75,,0.0,0.0,260.375,,0.0,0.0,0.0,0.0,116.75,,0.0,0.0,120.0,,0.0,0.0,116.75,,0.0,0.0,120.0,,True,,0,1.0,True,1.0,1,0.49489366699708626,2.4467930829996476
pattern_discrimination,10,b-2_alternating_blue_red_correlated_3s_10uA,-2.0,alternating_blue_red,correlated,3.0,10.0,160,512,0.0,1.0,1.0,0.0,-1.0,-1.0,0.0,0.0,80,25,25,True,False,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0.125|0.3125|0.625|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,49.23727066699939,1.0,0,1.0,1.0,0.0,0.0,0.35,False,False,False,1.0,1.0,0.0,0.0,87.11105687354542,87.11105687354542,0.0,0.0,0.0,1.1479595052321656e-11,1.1479595052321656e-11,1.0,1.0,-0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,114.75,,0.0,0.0,138.75,,0.0,0.0,114.75,,0.0,0.0,138.75,,1.0,0.0,28.375,0.0,1.0,34.5,334.75,4.0,1.0,22.25,334.875,4.0,0.0,0.0,334.75,,0.0,0.0,334.875,,29.0,0.0,1.0,34.875,336.0,4.0,1.0,23.125,337.375,4.0,0.0,0.0,336.0,,0.0,0.0,337.375,,28.75,0.0,1.0,34.75,334.75,4.0,1.0,22.75,335.75,4.0,0.0,0.0,334.75,,0.0,0.0,335.75,,0.0,0.0,0.0,0.0,114.5,,0.0,0.0,139.25,,0.0,0.0,114.5,,0.0,0.0,139.25,,True,,0,1.0,True,1.0,1,0.5122247499966761,2.5557795409986284
pattern_discrimination,11,b-2_alternating_blue_red_correlated_3s_10uA,-2.0,alternating_blue_red,correlated,3.0,10.0,160,522,0.0,1.0,1.0,0.0,-1.0,-1.0,0.0,0.0,80,16,16,True,False,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0.0625|0.1875|0.375|0.5|0.8125|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,48.82185529101116,1.0,0,1.0,1.0,0.0,0.0,0.35,False,False,False,1.0,1.0,0.0,0.0,84.2251894713146,84.2251894713146,0.0,0.0,0.0,1.1872947069946349e-11,1.1872947069946349e-11,1.0,1.0,-0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,114.875,,0.0,0.0,124.125,,0.0,0.0,114.875,,0.0,0.0,124.125,,1.0,0.0,26.125,0.0,1.0,27.75,294.625,4.0,1.0,24.5,295.5,4.0,0.0,0.0,294.625,,0.0,0.0,295.5,,26.9375,0.0,1.0,29.375,299.125,4.0,1.0,24.5,300.625,4.0,0.0,0.0,299.125,,0.0,0.0,300.625,,26.0,0.0,1.0,27.875,294.75,4.0,1.0,24.125,295.875,4.0,0.0,0.0,294.75,,0.0,0.0,295.875,,0.0,0.0,0.0,0.0,114.625,,0.0,0.0,123.875,,0.0,0.0,114.625,,0.0,0.0,123.875,,True,,0,1.0,True,1.0,1,0.4925730830000248,2.4150123330036877
pattern_discrimination,12,b-2_alternating_blue_red_correlated_3s_10uA,-2.0,alternating_blue_red,correlated,3.0,10.0,160,582,0.0,1.0,1.0,0.0,-1.0,-1.0,0.0,0.0,80,10,10,True,False,0|0|0|0|0|0|0|0|0.125|0.25|0.5625|0.75|0.875|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,49.681007833001786,1.0,0,1.0,1.0,0.0,0.0,0.35,False,False,False,1.0,1.0,0.0,0.0,91.84186638108906,91.84186638108906,0.0,0.0,0.0,1.0888290269406298e-11,1.0888290269406298e-11,1.0,1.0,-0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,142.125,,0.0,0.0,140.875,,0.0,0.0,142.125,,0.0,0.0,140.875,,1.0,0.0,45.8125,0.0,1.0,43.375,358.375,4.0,1.0,48.25,394.375,4.0,0.0,0.0,358.375,,0.0,0.0,394.375,,45.625,0.0,1.0,42.875,358.375,4.0,1.0,48.375,394.375,4.0,0.0,0.0,358.375,,0.0,0.0,394.375,,45.625,0.0,1.0,42.875,358.375,4.0,1.0,48.375,394.375,4.0,0.0,0.0,358.375,,0.0,0.0,394.375,,0.0,0.0,0.0,0.0,141.875,,0.0,0.0,141.25,,0.0,0.0,141.875,,0.0,0.0,141.25,,True,,0,1.0,True,1.0,1,0.519207124991226,2.43524979200447
pattern_discrimination,13,b-2_alternating_blue_red_correlated_3s_10uA,-2.0,alternating_blue_red,correlated,3.0,10.0,160,560,0.0,1.0,1.0,0.0,-1.0,-1.0,0.0,0.0,80,20,20,True,False,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0.0625|0.1875|0.3125|0.5|0.5|0.5|0.5|0.5|0.5|0.625|0.75|0.9375|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,48.63670000000275,1.0,0,1.0,1.0,0.0,0.0,0.35,False,False,False,1.0,1.0,0.0,0.0,86.39209405722791,86.39209405722791,0.0,0.0,0.0,1.1575185254741882e-11,1.1575185254741882e-11,1.0,1.0,-0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,140.25,,0.0,0.0,119.25,,0.0,0.0,140.25,,0.0,0.0,119.25,,1.0,0.0,37.0625,0.0,1.0,39.875,329.875,4.0,1.0,34.25,301.125,4.0,0.0,0.0,329.875,,0.0,0.0,301.125,,36.5,0.0,1.0,39.125,329.75,4.0,1.0,33.875,301.5,4.0,0.0,0.0,329.75,,0.0,0.0,301.5,,36.625,0.0,1.0,39.125,329.25,4.0,1.0,34.125,300.5,4.0,0.0,0.0,329.25,,0.0,0.0,300.5,,0.0,0.0,0.0,0.0,140.375,,0.0,0.0,119.25,,0.0,0.0,140.375,,0.0,0.0,119.25,,True,,0,1.0,True,1.0,1,0.4854697499977192,2.389328999997815
pattern_discrimination,14,b-2_alternating_blue_red_correlated_3s_10uA,-2.0,alternating_blue_red,correlated,3.0,10.0,160,507,0.0,1.0,1.0,0.0,-1.0,-1.0,0.0,0.0,80,18,18,True,False,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0.125|0.3125|0.5|0.5|0.5|0.5|0.5|0.5|0.5625|0.625|0.8125|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,50.39228600000206,1.0,0,1.0,1.0,0.0,0.0,0.35,False,False,False,1.0,1.0,0.0,0.0,85.04310352560431,85.04310352560431,0.0,0.0,0.0,1.1758816143014883e-11,1.1758816143014883e-11,1.0,1.0,-0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,125.0,,0.0,0.0,133.75,,0.0,0.0,125.0,,0.0,0.0,133.75,,1.0,0.0,22.8125,0.0,1.0,31.125,311.625,4.0,1.0,14.5,266.125,4.0,0.0,0.0,311.625,,0.0,0.0,266.125,,23.1875,0.0,1.0,31.375,311.25,4.0,1.0,15.0,267.125,4.0,0.0,0.0,311.25,,0.0,0.0,267.125,,23.1875,0.0,1.0,31.375,311.125,4.0,1.0,15.0,267.125,4.0,0.0,0.0,311.125,,0.0,0.0,267.125,,0.0,0.0,0.0,0.0,125.75,,0.0,0.0,134.0,,0.0,0.0,125.75,,0.0,0.0,134.0,,True,,0,1.0,True,1.0,1,0.49429633299587294,2.3695457499998156
