task_name,seed,protocol_id,beta,schedule,spatial_mode,duration_s,current_uA,pulse_width_us,total_pulses,baseline_score,trained_score,training_score_delta,naive_weight_control_score,naive_weight_control_minus_trained_score,naive_weight_control_minus_no_reset_score,naive_weight_control_positive_response_probability,naive_weight_control_negative_response_probability,training_repetitions,initial_trials_to_criterion,initial_trials_for_savings,training_reached_criterion,training_stop_at_criterion,training_history,training_elapsed_s,consolidation_rest_s,consolidation_neuron_spikes,reset_score,no_reset_score,reset_minus_no_reset_score,forgetting_score,criterion_score,score_drop,criterion_forget,made_forget,reset_positive_response_probability,no_reset_positive_response_probability,reset_negative_response_probability,no_reset_negative_response_probability,trained_delta_norm,naive_weight_control_displacement_norm,reset_post_minus_trained_norm,no_reset_post_minus_trained_norm,reset_minus_no_reset_weight_norm,weight_erasure_reset,weight_erasure_no_reset,residual_trace_correlation_reset,residual_trace_correlation_no_reset,erasure_projection_reset_vs_no_reset,reset_window_neuron_spikes_reset,reset_window_neuron_spikes_no_reset,reset_window_neuron_spikes_delta,baseline_positive_response_probability,baseline_negative_response_probability,baseline_positive_target_spikes_per_trial,baseline_negative_target_spikes_per_trial,baseline_a_to_b_response_probability,baseline_a_to_b_target_spikes_per_trial,baseline_a_to_b_total_spikes_per_trial,baseline_a_to_b_mean_first_latency_ms,baseline_sham_b_response_probability,baseline_sham_b_target_spikes_per_trial,baseline_sham_b_total_spikes_per_trial,baseline_sham_b_mean_first_latency_ms,trained_positive_response_probability,trained_negative_response_probability,trained_positive_target_spikes_per_trial,trained_negative_target_spikes_per_trial,trained_a_to_b_response_probability,trained_a_to_b_target_spikes_per_trial,trained_a_to_b_total_spikes_per_trial,trained_a_to_b_mean_first_latency_ms,trained_sham_b_response_probability,trained_sham_b_target_spikes_per_trial,trained_sham_b_total_spikes_per_trial,trained_sham_b_mean_first_latency_ms,reset_positive_target_spikes_per_trial,reset_negative_target_spikes_per_trial,reset_a_to_b_response_probability,reset_a_to_b_target_spikes_per_trial,reset_a_to_b_total_spikes_per_trial,reset_a_to_b_mean_first_latency_ms,reset_sham_b_response_probability,reset_sham_b_target_spikes_per_trial,reset_sham_b_total_spikes_per_trial,reset_sham_b_mean_first_latency_ms,no_reset_positive_target_spikes_per_trial,no_reset_negative_target_spikes_per_trial,no_reset_a_to_b_response_probability,no_reset_a_to_b_target_spikes_per_trial,no_reset_a_to_b_total_spikes_per_trial,no_reset_a_to_b_mean_first_latency_ms,no_reset_sham_b_response_probability,no_reset_sham_b_target_spikes_per_trial,no_reset_sham_b_total_spikes_per_trial,no_reset_sham_b_mean_first_latency_ms,naive_weight_control_positive_target_spikes_per_trial,naive_weight_control_negative_target_spikes_per_trial,naive_weight_control_a_to_b_response_probability,naive_weight_control_a_to_b_target_spikes_per_trial,naive_weight_control_a_to_b_total_spikes_per_trial,naive_weight_control_a_to_b_mean_first_latency_ms,naive_weight_control_sham_b_response_probability,naive_weight_control_sham_b_target_spikes_per_trial,naive_weight_control_sham_b_total_spikes_per_trial,naive_weight_control_sham_b_mean_first_latency_ms,relearn_measured,relearn_skipped_reason,relearn_trials,relearn_score,relearn_reached_criterion,relearn_savings,relearn_history,relearn_elapsed_s,job_elapsed_s
conditioned_electrode_association,1,b-2_alternating_blue_red_correlated_3s_10uA,-2.0,alternating_blue_red,correlated,3.0,10.0,160,565,0.0,1.0,1.0,0.0,-1.0,-1.0,0.0,0.0,60,25,25,True,False,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0.25|0.5|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,15.032802582994918,1.0,0,1.0,1.0,0.0,0.0,0.4,False,False,False,1.0,1.0,0.0,0.0,51.23657623426031,51.23657623426031,0.0,0.0,0.0,1.9517276683700402e-11,1.9517276683700402e-11,0.9999999999999998,0.9999999999999998,-0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,115.375,,0.0,0.0,0.0,,1.0,0.0,16.5,0.0,1.0,16.5,277.25,4.0,0.0,0.0,0.0,,16.75,0.0,1.0,16.75,276.875,4.0,0.0,0.0,0.0,,16.875,0.0,1.0,16.875,276.875,4.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,115.625,,0.0,0.0,0.0,,True,,0,1.0,True,1.0,1,0.21615445899806218,1.5157006250010454
conditioned_electrode_association,2,b-2_alternating_blue_red_correlated_3s_10uA,-2.0,alternating_blue_red,correlated,3.0,10.0,160,546,0.0,1.0,1.0,0.0,-1.0,-1.0,0.0,0.0,60,24,24,True,False,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0.125|0.125|0.375|0.75|0.75|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,15.081735542000388,1.0,0,1.0,1.0,0.0,0.0,0.4,False,False,False,1.0,1.0,0.0,0.0,54.640312840490594,54.640312840490594,0.0,0.0,0.0,1.8301471449433393e-11,1.8301471449433393e-11,0.9999999999999998,0.9999999999999998,-0.0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,133.25,,0.0,0.0,0.0,,1.0,0.0,22.5,0.0,1.0,22.5,276.875,4.0,0.0,0.0,0.0,,22.75,0.0,1.0,22.75,277.75,4.0,0.0,0.0,0.0,,22.625,0.0,1.0,22.625,277.5,4.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,133.25,,0.0,0.0,0.0,,True,,0,1.0,True,1.0,1,0.20758604200091213,1.5447387500025798
conditioned_electrode_association,3,b-2_alternating_blue_red_correlated_3s_10uA,-2.0,alternating_blue_red,correlated,3.0,10.0,160,546,0.0,1.0,1.0,0.0,-1.0,-1.0,0.0,0.0,60,29,29,True,False,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0.375|0.375|0.75|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,15.18373183299991,1.0,0,1.0,1.0,0.0,0.0,0.4,False,False,False,1.0,1.0,0.0,0.0,54.245071217540705,54.245071217540705,0.0,0.0,0.0,1.8434809234690874e-11,1.8434809234690874e-11,0.9999999999999998,0.9999999999999998,-0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,120.5,,0.0,0.0,0.0,,1.0,0.0,28.375,0.0,1.0,28.375,314.625,4.0,0.0,0.0,0.0,,28.0,0.0,1.0,28.0,313.125,4.0,0.0,0.0,0.0,,28.0,0.0,1.0,28.0,313.125,4.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,120.25,,0.0,0.0,0.0,,True,,0,1.0,True,1.0,1,0.25228545800200664,1.5471134999970673
conditioned_electrode_association,4,b-2_alternating_blue_red_correlated_3s_10uA,-2.0,alternating_blue_red,correlated,3.0,10.0,160,550,0.0,1.0,1.0,0.0,-1.0,-1.0,0.0,0.0,60,14,14,True,False,0|0|0|0|0|0|0|0|0|0|0|0|0|0.25|0.75|0.875|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,15.147151375000249,1.0,0,1.0,1.0,0.0,0.0,0.4,False,False,False,1.0,1.0,0.0,0.0,53.70409928946143,53.70409928946143,0.0,0.0,0.0,1.86204385244082e-11,1.86204385244082e-11,1.0,1.0,-0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,135.75,,0.0,0.0,0.0,,1.0,0.0,27.375,0.0,1.0,27.375,332.25,4.0,0.0,0.0,0.0,,27.375,0.0,1.0,27.375,332.5,4.0,0.0,0.0,0.0,,27.375,0.0,1.0,27.375,332.125,4.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,134.375,,0.0,0.0,0.0,,True,,0,1.0,True,1.0,1,0.20949183299671859,1.4988765420057462
conditioned_electrode_association,5,b-2_alternating_blue_red_correlated_3s_10uA,-2.0,alternating_blue_red,correlated,3.0,10.0,160,483,0.0,1.0,1.0,0.0,-1.0,-1.0,0.0,0.0,60,29,29,True,False,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0.25|0.625|0.875|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,14.935577750002267,1.0,0,1.0,1.0,0.0,0.0,0.4,False,False,False,1.0,1.0,0.0,0.0,51.66595570150238,51.66595570150238,0.0,0.0,0.0,1.9355073099802667e-11,1.9355073099802667e-11,1.0,1.0,-0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,126.625,,0.0,0.0,0.0,,1.0,0.0,11.25,0.0,1.0,11.25,245.75,4.0,0.0,0.0,0.0,,11.875,0.0,1.0,11.875,251.375,4.0,0.0,0.0,0.0,,11.25,0.0,1.0,11.25,246.625,4.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,125.625,,0.0,0.0,0.0,,True,,0,1.0,True,1.0,1,0.22009866699954728,1.511387165999622
conditioned_electrode_association,6,b-2_alternating_blue_red_correlated_3s_10uA,-2.0,alternating_blue_red,correlated,3.0,10.0,160,589,0.0,1.0,1.0,0.0,-1.0,-1.0,0.0,0.0,60,12,12,True,False,0|0|0|0|0|0|0|0|0|0|0|0.125|0.5|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,15.121907792003185,1.0,0,1.0,1.0,0.0,0.0,0.4,False,False,False,1.0,1.0,0.0,0.0,56.03153867320047,56.03153867320047,0.0,0.0,0.0,1.7847057165454316e-11,1.7847057165454316e-11,1.0,1.0,-0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,132.5,,0.0,0.0,0.0,,1.0,0.0,17.875,0.0,1.0,17.875,301.375,4.0,0.0,0.0,0.0,,17.5,0.0,1.0,17.5,301.0,4.0,0.0,0.0,0.0,,17.5,0.0,1.0,17.5,300.875,4.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,131.5,,0.0,0.0,0.0,,True,,0,1.0,True,1.0,1,0.21212841699889395,1.4923079170039273
conditioned_electrode_association,7,b-2_alternating_blue_red_correlated_3s_10uA,-2.0,alternating_blue_red,correlated,3.0,10.0,160,520,0.0,1.0,1.0,0.0,-1.0,-1.0,0.0,0.0,60,20,20,True,False,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0.25|0.625|0.75|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,15.426613292002003,1.0,0,1.0,1.0,0.0,0.0,0.4,False,False,False,1.0,1.0,0.0,0.0,53.01342780517744,53.01342780517744,0.0,0.0,0.0,1.886313327759126e-11,1.886313327759126e-11,1.0,1.0,-0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,132.75,,0.0,0.0,0.0,,1.0,0.0,21.5,0.0,1.0,21.5,280.75,4.0,0.0,0.0,0.0,,21.625,0.0,1.0,21.625,281.0,4.0,0.0,0.0,0.0,,21.5,0.0,1.0,21.5,280.875,4.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,134.5,,0.0,0.0,0.0,,True,,0,1.0,True,1.0,1,0.20402974999888102,1.4466209169986541
conditioned_electrode_association,8,b-2_alternating_blue_red_correlated_3s_10uA,-2.0,alternating_blue_red,correlated,3.0,10.0,160,550,0.0,1.0,1.0,0.0,-1.0,-1.0,0.0,0.0,60,16,16,True,False,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0.5|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,15.164888083003461,1.0,0,1.0,1.0,0.0,0.0,0.4,False,False,False,1.0,1.0,0.0,0.0,52.40266579419925,52.40266579419925,0.0,0.0,0.0,1.908295743646704e-11,1.908295743646704e-11,1.0,1.0,-0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,128.75,,0.0,0.0,0.0,,1.0,0.0,24.75,0.0,1.0,24.75,278.125,4.0,0.0,0.0,0.0,,25.0,0.0,1.0,25.0,279.0,4.0,0.0,0.0,0.0,,24.875,0.0,1.0,24.875,278.625,4.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,129.5,,0.0,0.0,0.0,,True,,0,1.0,True,1.0,1,0.20348012499744073,1.4596952499996405
conditioned_electrode_association,9,b-2_alternating_blue_red_correlated_3s_10uA,-2.0,alternating_blue_red,correlated,3.0,10.0,160,591,0.0,1.0,1.0,0.0,-1.0,-1.0,0.0,0.0,60,30,30,True,False,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0.5|0.875|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,15.018032542000583,1.0,0,1.0,1.0,0.0,0.0,0.4,False,False,False,1.0,1.0,0.0,0.0,49.070339166577796,49.070339166577796,0.0,0.0,0.0,2.0378809750809523e-11,2.0378809750809523e-11,1.0,1.0,-0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,117.625,,0.0,0.0,0.0,,1.0,0.0,11.75,0.0,1.0,11.75,239.125,4.0,0.0,0.0,0.0,,11.375,0.0,1.0,11.375,239.0,4.0,0.0,0.0,0.0,,11.5,0.0,1.0,11.5,238.75,4.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,116.625,,0.0,0.0,0.0,,True,,0,1.0,True,1.0,1,0.2138629580003908,1.5013220839973656
conditioned_electrode_association,10,b-2_alternating_blue_red_correlated_3s_10uA,-2.0,alternating_blue_red,correlated,3.0,10.0,160,512,0.0,1.0,1.0,0.0,-1.0,-1.0,0.0,0.0,60,25,25,True,False,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0.25|0.5|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,15.297443957999349,1.0,0,1.0,1.0,0.0,0.0,0.4,False,False,False,1.0,1.0,0.0,0.0,55.10018155754702,55.10018155754702,0.0,0.0,0.0,1.814870476124497e-11,1.814870476124497e-11,1.0,1.0,-0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,115.5,,0.0,0.0,0.0,,1.0,0.0,23.125,0.0,1.0,23.125,301.625,4.0,0.0,0.0,0.0,,23.875,0.0,1.0,23.875,303.5,4.0,0.0,0.0,0.0,,23.25,0.0,1.0,23.25,301.625,4.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,114.875,,0.0,0.0,0.0,,True,,0,1.0,True,1.0,1,0.20440770799905295,1.4638672079963726
conditioned_electrode_association,11,b-2_alternating_blue_red_correlated_3s_10uA,-2.0,alternating_blue_red,correlated,3.0,10.0,160,522,0.0,1.0,1.0,0.0,-1.0,-1.0,0.0,0.0,60,18,18,True,False,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0.125|0.5|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,15.061746583000058,1.0,0,1.0,1.0,0.0,0.0,0.4,False,False,False,1.0,1.0,0.0,0.0,53.514194577250414,53.514194577250414,0.0,0.0,0.0,1.868660781667586e-11,1.868660781667586e-11,0.9999999999999998,0.9999999999999998,-0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,114.875,,0.0,0.0,0.0,,1.0,0.0,16.875,0.0,1.0,16.875,264.375,4.0,0.0,0.0,0.0,,17.375,0.0,1.0,17.375,266.0,4.0,0.0,0.0,0.0,,17.0,0.0,1.0,17.0,263.25,4.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,115.125,,0.0,0.0,0.0,,True,,0,1.0,True,1.0,1,0.20433937499910826,1.441678666997177
conditioned_electrode_association,12,b-2_alternating_blue_red_correlated_3s_10uA,-2.0,alternating_blue_red,correlated,3.0,10.0,160,582,0.0,1.0,1.0,0.0,-1.0,-1.0,0.0,0.0,60,9,9,True,False,0|0|0|0|0|0|0|0|0.25|0.5|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,15.246341750003921,1.0,0,1.0,1.0,0.0,0.0,0.4,False,False,False,1.0,1.0,0.0,0.0,56.788193719276485,56.788193719276485,0.0,0.0,0.0,1.7609247393579608e-11,1.7609247393579608e-11,1.0,1.0,-0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,142.875,,0.0,0.0,0.0,,1.0,0.0,29.875,0.0,1.0,29.875,321.75,4.0,0.0,0.0,0.0,,30.875,0.0,1.0,30.875,322.875,4.0,0.0,0.0,0.0,,30.875,0.0,1.0,30.875,322.875,4.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,141.75,,0.0,0.0,0.0,,True,,0,1.0,True,1.0,1,0.2107909580008709,1.4456196250030189
conditioned_electrode_association,13,b-2_alternating_blue_red_correlated_3s_10uA,-2.0,alternating_blue_red,correlated,3.0,10.0,160,560,0.0,1.0,1.0,0.0,-1.0,-1.0,0.0,0.0,60,19,19,True,False,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0.375|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,15.195572416996583,1.0,0,1.0,1.0,0.0,0.0,0.4,False,False,False,1.0,1.0,0.0,0.0,53.586929956188406,53.586929956188406,0.0,0.0,0.0,1.8661183709411944e-11,1.8661183709411944e-11,1.0,1.0,-0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,140.375,,0.0,0.0,0.0,,1.0,0.0,26.125,0.0,1.0,26.125,280.125,4.0,0.0,0.0,0.0,,25.875,0.0,1.0,25.875,280.25,4.0,0.0,0.0,0.0,,25.75,0.0,1.0,25.75,279.375,4.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,140.625,,0.0,0.0,0.0,,True,,0,1.0,True,1.0,1,0.20395470799849136,1.435292041998764
conditioned_electrode_association,14,b-2_alternating_blue_red_correlated_3s_10uA,-2.0,alternating_blue_red,correlated,3.0,10.0,160,507,0.0,1.0,1.0,0.0,-1.0,-1.0,0.0,0.0,60,25,25,True,False,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0.125|0.125|0.25|0.5|0.75|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,15.50989312499587,1.0,0,1.0,1.0,0.0,0.0,0.4,False,False,False,1.0,1.0,0.0,0.0,55.82442899341716,55.82442899341716,0.0,0.0,0.0,1.7913226457721976e-11,1.7913226457721976e-11,0.9999999999999998,0.9999999999999998,-0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,125.25,,0.0,0.0,0.0,,1.0,0.0,24.25,0.0,1.0,24.25,284.375,4.0,0.0,0.0,0.0,,24.5,0.0,1.0,24.5,284.125,4.0,0.0,0.0,0.0,,24.5,0.0,1.0,24.5,284.0,4.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,125.25,,0.0,0.0,0.0,,True,,0,1.0,True,1.0,1,0.20455129200126976,1.4444664170005126
conditioned_electrode_association,15,b-2_alternating_blue_red_correlated_3s_10uA,-2.0,alternating_blue_red,correlated,3.0,10.0,160,550,0.0,1.0,1.0,0.0,-1.0,-1.0,0.0,0.0,60,11,11,True,False,0|0|0|0|0|0|0|0|0|0|0.375|0.75|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,15.37848245799978,1.0,0,1.0,1.0,0.0,0.0,0.4,False,False,False,1.0,1.0,0.0,0.0,58.22290434674049,58.22290434674049,0.0,0.0,0.0,1.7175261213253634e-11,1.7175261213253634e-11,1.0,1.0,-0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,147.125,,0.0,0.0,0.0,,1.0,0.0,24.875,0.0,1.0,24.875,352.375,4.0,0.0,0.0,0.0,,25.75,0.0,1.0,25.75,363.75,4.0,0.0,0.0,0.0,,25.0,0.0,1.0,25.0,352.25,4.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,146.0,,0.0,0.0,0.0,,True,,0,1.0,True,1.0,1,0.20546429199748673,1.4425678749976214
conditioned_electrode_association,16,b-2_alternating_blue_red_correlated_3s_10uA,-2.0,alternating_blue_red,correlated,3.0,10.0,160,574,0.0,1.0,1.0,0.0,-1.0,-1.0,0.0,0.0,60,15,15,True,False,0|0|0|0|0|0|0|0|0|0|0|0|0.125|0.125|0.375|0.875|0.875|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,15.183620832998713,1.0,0,1.0,1.0,0.0,0.0,0.4,False,False,False,1.0,1.0,0.0,0.0,55.605699918608565,55.605699918608565,0.0,0.0,0.0,1.7983725619785673e-11,1.7983725619785673e-11,1.0,1.0,-0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,112.75,,0.0,0.0,0.0,,1.0,0.0,19.875,0.0,1.0,19.875,250.125,4.0,0.0,0.0,0.0,,20.75,0.0,1.0,20.75,257.25,4.0,0.0,0.0,0.0,,19.625,0.0,1.0,19.625,250.0,4.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,113.125,,0.0,0.0,0.0,,True,,0,1.0,True,1.0,1,0.2028743329938152,1.4310490420029964
conditioned_electrode_association,17,b-2_alternating_blue_red_correlated_3s_10uA,-2.0,alternating_blue_red,correlated,3.0,10.0,160,553,0.0,1.0,1.0,0.0,-1.0,-1.0,0.0,0.0,60,18,18,True,False,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0.375|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,15.259534083998005,1.0,0,1.0,1.0,0.0,0.0,0.4,False,False,False,1.0,1.0,0.0,0.0,54.730543986417345,54.730543986417345,0.13485668796930006,0.0,0.13485668796930006,-3.035653375560443e-06,1.827127338316359e-11,0.9999969501617272,0.9999999999999998,-0.0,37,0,37,0.0,0.0,0.0,0.0,0.0,0.0,123.875,,0.0,0.0,0.0,,1.0,0.0,29.0,0.0,1.0,29.0,279.75,4.0,0.0,0.0,0.0,,29.0,0.0,1.0,29.0,279.625,4.0,0.0,0.0,0.0,,29.0,0.0,1.0,29.0,279.625,4.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,124.125,,0.0,0.0,0.0,,True,,0,1.0,True,1.0,1,0.20313775000249734,1.44785041599971
conditioned_electrode_association,18,b-2_alternating_blue_red_correlated_3s_10uA,-2.0,alternating_blue_red,correlated,3.0,10.0,160,649,0.0,1.0,1.0,0.0,-1.0,-1.0,0.0,0.0,60,8,8,True,False,0|0|0|0|0|0|0.125|0.25|0.5|0.75|0.875|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,15.238228582995362,1.0,0,1.0,1.0,0.0,0.0,0.4,False,False,False,1.0,1.0,0.0,0.0,55.339516732110766,55.339516732110766,0.0,0.0,0.0,1.8070211993403973e-11,1.8070211993403973e-11,1.0,1.0,-0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,105.875,,0.0,0.0,0.0,,1.0,0.0,22.125,0.0,1.0,22.125,284.5,4.0,0.0,0.0,0.0,,21.75,0.0,1.0,21.75,284.625,4.0,0.0,0.0,0.0,,21.75,0.0,1.0,21.75,284.625,4.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,106.25,,0.0,0.0,0.0,,True,,0,1.0,True,1.0,1,0.2030173749953974,1.438400457998796
conditioned_electrode_association,19,b-2_alternating_blue_red_correlated_3s_10uA,-2.0,alternating_blue_red,correlated,3.0,10.0,160,476,0.0,1.0,1.0,0.0,-1.0,-1.0,0.0,0.0,60,19,19,True,False,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0.375|0.75|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,15.766221042002144,1.0,0,1.0,1.0,0.0,0.0,0.4,False,False,False,1.0,1.0,0.0,0.0,59.27125572758789,59.27125572758789,0.0,0.0,0.0,1.687150419371619e-11,1.687150419371619e-11,1.0,1.0,-0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,152.125,,0.0,0.0,0.0,,1.0,0.0,43.25,0.0,1.0,43.25,368.125,4.0,0.0,0.0,0.0,,43.875,0.0,1.0,43.875,369.0,4.0,0.0,0.0,0.0,,43.875,0.0,1.0,43.875,369.0,4.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,151.875,,0.0,0.0,0.0,,True,,0,1.0,True,1.0,1,0.20734129200718598,1.4486067079997156
conditioned_electrode_association,20,b-2_alternating_blue_red_correlated_3s_10uA,-2.0,alternating_blue_red,correlated,3.0,10.0,160,536,0.0,1.0,1.0,0.0,-1.0,-1.0,0.0,0.0,60,25,25,True,False,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0.375|0.75|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,15.876889957995445,1.0,0,1.0,1.0,0.0,0.0,0.4,False,False,False,1.0,1.0,0.0,0.0,55.7396052419915,55.7396052419915,0.0,0.0,0.0,1.7940537944127755e-11,1.7940537944127755e-11,0.9999999999999998,0.9999999999999998,-0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,121.625,,0.0,0.0,0.0,,1.0,0.0,35.125,0.0,1.0,35.125,329.625,4.0,0.0,0.0,0.0,,35.125,0.0,1.0,35.125,329.5,4.0,0.0,0.0,0.0,,34.875,0.0,1.0,34.875,328.75,4.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,121.375,,0.0,0.0,0.0,,True,,0,1.0,True,1.0,1,0.2065348750038538,1.4515922919963486
