probe,condition,protocol_id,seed,duration_s,current_uA,schedule,spatial_mode,initial_trials,initial_response_probability,trained_delta_norm,consolidation_s,consolidation_weight_change_norm,homeostasis_rate,homeostasis_interval_ms,weight_erasure_reset,weight_erasure_no_reset,weight_erasure_delta,path_erasure_reset,path_erasure_no_reset,path_erasure_delta,post_behavior_reset,post_behavior_no_reset,post_behavior_delta,post_delta_norm_reset,post_delta_norm_no_reset,post_delta_norm_delta,post_minus_trained_norm_reset,post_minus_trained_norm_no_reset,post_minus_trained_norm_delta,residual_trace_correlation_reset,residual_trace_correlation_no_reset,residual_trace_correlation_delta,reset_window_neuron_spikes_reset,reset_window_neuron_spikes_no_reset,reset_window_neuron_spikes_delta,post_readout_neuron_spikes_reset,post_readout_neuron_spikes_no_reset,post_readout_neuron_spikes_delta
homeostasis_sweep,low_homeostasis_rate,mid_burden_1.5s,3,1.5,0.8,static,shared,48,0.875,16.332356310084663,0.0,0.0,0.003,100.0,-0.44751607869432464,-0.44751607869432464,0.0,-0.4471019259040907,-0.4471019259040907,0.0,0.625,0.625,0.0,23.641348363259777,23.641348363259777,0.0,7.312567193978774,7.312567193978774,0.0,0.9997671167754931,0.9997671167754931,0.0,1742,1742,0,1796,1796,0
homeostasis_sweep,low_homeostasis_rate,high_burden_3s,3,3.0,2.6,static,shared,48,0.875,16.332356310084663,0.0,0.0,0.003,100.0,-0.9154318352949409,-0.9154318352949409,0.0,-0.9146011866043144,-0.9146011866043144,0.0,0.75,0.75,0.0,31.283515223631806,31.283515223631806,0.0,14.954751259461496,14.954751259461496,0.0,0.9996382877348323,0.9996382877348323,0.0,3538,3538,0,1840,1840,0
homeostasis_sweep,low_homeostasis_rate,low_burden_0.75s,4,0.75,0.8,epoch_pause,independent,48,0.875,16.42822818886822,0.0,0.0,0.003,100.0,-0.2366157538275484,-0.2366157538275484,0.0,-0.23658600842152966,-0.23658600842152966,0.0,0.625,0.625,0.0,20.315405787064872,20.315405787064872,0.0,3.8904346087247372,3.8904346087247372,0.0,0.9998667068477836,0.9998667068477836,0.0,827,827,0,1830,1830,0
homeostasis_sweep,low_homeostasis_rate,mid_burden_1.5s,4,1.5,0.8,static,shared,48,0.875,16.42822818886822,0.0,0.0,0.003,100.0,-0.44805230213338865,-0.44805230213338865,0.0,-0.4487324099422647,-0.4487324099422647,0.0,0.625,0.625,0.0,23.78893365031131,23.78893365031131,0.0,7.36434109811761,7.36434109811761,0.0,0.9997594250623001,0.9997594250623001,0.0,1746,1746,0,1758,1758,0
homeostasis_sweep,low_homeostasis_rate,high_burden_3s,4,3.0,2.6,static,shared,48,0.875,16.42822818886822,0.0,0.0,0.003,100.0,-0.9151695845289778,-0.9151695845289778,0.0,-0.9157434093019936,-0.9157434093019936,0.0,0.375,0.375,0.0,31.462842956937163,31.462842956937163,0.0,15.038335279645356,15.038335279645356,0.0,0.999619818477476,0.999619818477476,0.0,3504,3504,0,1826,1826,0
homeostasis_sweep,slow_homeostasis_interval,low_burden_0.75s,1,0.75,0.8,epoch_pause,independent,16,0.875,0.8893557168179625,0.0,0.0,0.003,1000.0,-0.4940240379883929,-0.4940240379883929,0.0,-0.5012868554748608,-0.5012868554748608,0.0,0.5,0.5,0.0,1.328718820742458,1.328718820742458,0.0,0.4669778526331794,0.4669778526331794,0.0,0.9663439434110075,0.9663439434110075,0.0,923,923,0,1888,1888,0
homeostasis_sweep,slow_homeostasis_interval,mid_burden_1.5s,1,1.5,0.8,static,shared,16,0.875,0.8893557168179625,0.0,0.0,0.003,1000.0,-0.9861297336411856,-0.9861297336411856,0.0,-1.0031157382167586,-1.0031157382167586,0.0,0.75,0.75,0.0,1.7663758349420553,1.7663758349420553,0.0,0.9033923454228913,0.9033923454228913,0.0,0.9522654092501069,0.9522654092501069,0.0,1877,1877,0,1818,1818,0
homeostasis_sweep,slow_homeostasis_interval,high_burden_3s,1,3.0,2.6,static,shared,16,0.875,0.8893557168179625,0.0,0.0,0.003,1000.0,-1.485443060016543,-1.485443060016543,0.0,-1.501128625349974,-1.501128625349974,0.0,0.25,0.25,0.0,2.2104429967366857,2.2104429967366857,0.0,1.3501982929192604,1.3501982929192604,0.0,0.9367596811638406,0.9367596811638406,0.0,3695,3695,0,1779,1779,0
homeostasis_sweep,slow_homeostasis_interval,low_burden_0.75s,3,0.75,0.8,epoch_pause,independent,48,0.875,2.628766249349202,0.0,0.0,0.003,1000.0,-0.16715904193183717,-0.16715904193183717,0.0,-0.16635070081888248,-0.16635070081888248,0.0,0.375,0.375,0.0,3.0681882982203224,3.0681882982203224,0.0,0.47045358598813775,0.47045358598813775,0.0,0.9942113884357876,0.9942113884357876,0.0,914,914,0,1733,1733,0
homeostasis_sweep,slow_homeostasis_interval,mid_burden_1.5s,3,1.5,0.8,static,shared,48,0.875,2.628766249349202,0.0,0.0,0.003,1000.0,-0.3344801300558169,-0.3344801300558169,0.0,-0.3335708143855496,-0.3335708143855496,0.0,0.625,0.625,0.0,3.508036327652345,3.508036327652345,0.0,0.9065773169764675,0.9065773169764675,0.0,0.9912434981282585,0.9912434981282585,0.0,1742,1742,0,1796,1796,0
homeostasis_sweep,slow_homeostasis_interval,high_burden_3s,3,3.0,2.6,static,shared,48,0.875,2.628766249349202,0.0,0.0,0.003,1000.0,-0.5040536134628937,-0.5040536134628937,0.0,-0.500014992677692,-0.500014992677692,0.0,0.75,0.75,0.0,3.953805377787019,3.953805377787019,0.0,1.3588932548643087,1.3588932548643087,0.0,0.9855238413603568,0.9855238413603568,0.0,3538,3538,0,1840,1840,0
homeostasis_sweep,slow_homeostasis_interval,low_burden_0.75s,4,0.75,0.8,epoch_pause,independent,48,0.875,2.6461378482842908,0.0,0.0,0.003,1000.0,-0.16682492691035433,-0.16682492691035433,0.0,-0.16753385652143993,-0.16753385652143993,0.0,0.625,0.625,0.0,3.087579602585865,3.087579602585865,0.0,0.4676992654351395,0.4676992654351395,0.0,0.9950828155428376,0.9950828155428376,0.0,827,827,0,1830,1830,0
homeostasis_sweep,slow_homeostasis_interval,mid_burden_1.5s,4,1.5,0.8,static,shared,48,0.875,2.6461378482842908,0.0,0.0,0.003,1000.0,-0.3342954325493561,-0.3342954325493561,0.0,-0.34029895904985263,-0.34029895904985263,0.0,0.625,0.625,0.0,3.5307296461960056,3.5307296461960056,0.0,0.9123491673987909,0.9123491673987909,0.0,0.9910043107648265,0.9910043107648265,0.0,1746,1746,0,1758,1758,0
homeostasis_sweep,slow_homeostasis_interval,high_burden_3s,4,3.0,2.6,static,shared,48,0.875,2.6461378482842908,0.0,0.0,0.003,1000.0,-0.5030705954824051,-0.5030705954824051,0.0,-0.5072847441684032,-0.5072847441684032,0.0,0.375,0.375,0.0,3.9773319928522697,3.9773319928522697,0.0,1.3659427823549162,1.3659427823549162,0.0,0.9849921551716004,0.9849921551716004,0.0,3504,3504,0,1826,1826,0
homeostasis_sweep,homeostasis_off,low_burden_0.75s,1,0.75,0.8,epoch_pause,independent,16,0.875,0.19163801314757042,0.0,0.0,0.0,1000.0,-0.3323522285400453,-0.3323522285400453,0.0,1.0,1.0,0.0,0.5,0.5,0.0,0.2553293352225042,0.2553293352225042,0.0,0.16872445389456012,0.16872445389456012,0.0,0.7505490154483612,0.7505490154483612,0.0,923,923,0,1888,1888,0
homeostasis_sweep,homeostasis_off,mid_burden_1.5s,1,1.5,0.8,static,shared,16,0.875,0.19163801314757042,0.0,0.0,0.0,1000.0,-0.6027487478174798,-0.6027487478174798,0.0,1.0,1.0,0.0,0.75,0.75,0.0,0.30714758720924695,0.30714758720924695,0.0,0.23982878525199697,0.23982878525199697,0.0,0.6247432635065827,0.6247432635065827,0.0,1877,1877,0,1818,1818,0
homeostasis_sweep,homeostasis_off,high_burden_3s,1,3.0,2.6,static,shared,16,0.875,0.19163801314757042,0.0,0.0,0.0,1000.0,-1.0138752098895072,-1.0138752098895072,0.0,-5935.403522005528,-5935.403522005528,0.0,0.25,0.25,0.0,0.38593504596424677,0.38593504596424677,0.0,0.3348493177690703,0.3348493177690703,0.0,0.49719995785626886,0.49719995785626886,0.0,3695,3695,0,1779,1779,0
homeostasis_sweep,homeostasis_off,low_burden_0.75s,3,0.75,0.8,epoch_pause,independent,48,0.875,0.3447638481750894,0.0,0.0,0.0,1000.0,-0.11834665661159871,-0.11834665661159871,0.0,-6247.112532442063,-6247.112532442063,0.0,0.375,0.375,0.0,0.38556549804550677,0.38556549804550677,0.0,0.17236410356614265,0.17236410356614265,0.0,0.894512651834316,0.894512651834316,0.0,914,914,0,1733,1733,0
homeostasis_sweep,homeostasis_off,mid_burden_1.5s,3,1.5,0.8,static,shared,48,0.875,0.3447638481750894,0.0,0.0,0.0,1000.0,-0.19863836979953775,-0.19863836979953775,0.0,-11811.457481469306,-11811.457481469306,0.0,0.625,0.625,0.0,0.41324717814104295,0.41324717814104295,0.0,0.22764415467262744,0.22764415467262744,0.0,0.8345928303768747,0.8345928303768747,0.0,1742,1742,0,1796,1796,0
homeostasis_sweep,homeostasis_off,high_burden_3s,3,3.0,2.6,static,shared,48,0.875,0.3447638481750894,0.0,0.0,0.0,1000.0,-0.3772604493403191,-0.3772604493403191,0.0,-22232.59537897873,-22232.59537897873,0.0,0.75,0.75,0.0,0.4748296138311817,0.4748296138311817,0.0,0.3262971002675415,0.3262971002675415,0.0,0.7264785127433,0.7264785127433,0.0,3538,3538,0,1840,1840,0
homeostasis_sweep,homeostasis_off,low_burden_0.75s,4,0.75,0.8,epoch_pause,independent,48,0.875,0.3555776925049424,0.0,0.0,0.0,1000.0,-0.09137099217395805,-0.09137099217395805,0.0,-0.6246236272199979,-0.6246236272199979,0.0,0.625,0.625,0.0,0.3880671801554166,0.3880671801554166,0.0,0.15607767204812675,0.15607767204812675,0.0,0.9155540051630006,0.9155540051630006,0.0,827,827,0,1830,1830,0
homeostasis_sweep,homeostasis_off,mid_burden_1.5s,4,1.5,0.8,static,shared,48,0.875,0.3555776925049424,0.0,0.0,0.0,1000.0,-0.18798995264006524,-0.18798995264006524,0.0,-0.020734007577705826,-0.020734007577705826,0.0,0.625,0.625,0.0,0.4224227272668002,0.4224227272668002,0.0,0.22879854812368491,0.22879854812368491,0.0,0.8406123608861262,0.8406123608861262,0.0,1746,1746,0,1758,1758,0
homeostasis_sweep,homeostasis_off,high_burden_3s,4,3.0,2.6,static,shared,48,0.875,0.3555776925049424,0.0,0.0,0.0,1000.0,-0.3615874883335677,-0.3615874883335677,0.0,0.4166054013840632,0.4166054013840632,0.0,0.375,0.375,0.0,0.4841501386068377,0.4841501386068377,0.0,0.3294652921147246,0.3294652921147246,0.0,0.7327433410836208,0.7327433410836208,0.0,3504,3504,0,1826,1826,0
stronger_protocols,expanded_protocol_family,static_3s_5uA,1,3.0,5.0,static,shared,16,0.875,22.18569381061725,0.0,0.0,0.012,100.0,-3.1772387082042206,-3.1772387082042206,0.0,-3.1770903763161655,-3.1770903763161655,0.0,0.25,0.25,0.0,92.67493895825442,92.67493895825442,0.0,70.49006199900246,70.49006199900246,0.0,0.9999012892645086,0.9999012892645086,0.0,3695,3695,0,1779,1779,0
stronger_protocols,expanded_protocol_family,static_3s_10uA,1,3.0,10.0,static,shared,16,0.875,22.18569381061725,0.0,0.0,0.012,100.0,-3.1772387082042206,-3.1772387082042206,0.0,-3.1770903763161655,-3.1770903763161655,0.0,0.25,0.25,0.0,92.67493895825442,92.67493895825442,0.0,70.49006199900246,70.49006199900246,0.0,0.9999012892645086,0.9999012892645086,0.0,3695,3695,0,1779,1779,0
stronger_protocols,expanded_protocol_family,static_3s_20uA_threshold_probe,1,3.0,20.0,static,shared,16,0.875,22.18569381061725,0.0,0.0,0.012,100.0,-2.510274629682943,-3.1772387082042206,0.6669640785212776,-2.5237966698546708,-3.1770903763161655,0.6532937064614948,0.25,0.25,0.0,77.8778781288339,92.67493895825442,-14.797060829420516,55.927058188792955,70.49006199900246,-14.563003810209509,0.97414924180367,0.9999012892645086,-0.02575204746083859,24612,3695,20917,1779,1779,0
stronger_protocols,expanded_protocol_family,chirp_10s_10uA,1,10.0,10.0,chirp,shared,16,0.875,22.18569381061725,0.0,0.0,0.012,100.0,-2.900970482703393,-15.117826353489917,12.216855870786524,-3.16788549398757,-15.39578026732136,12.22789477333379,0.375,0.375,0.0,86.54573669741421,357.5851603873427,-271.03942368992847,73.41705438328295,335.55311106454883,-262.13605668126587,0.44670558011978534,0.9774813806446762,-0.5307758005248908,372580,12002,360578,1807,1807,0
stronger_protocols,expanded_protocol_family,gated_burst_10s_10uA,1,10.0,10.0,gated_burst,correlated,16,0.875,22.18569381061725,0.0,0.0,0.012,100.0,-4.074509882837222,-15.117826353489917,11.043316470652695,-5.235673332340257,-15.39578026732136,10.160106934981103,0.375,0.375,0.0,112.58152250465233,357.5851603873427,-245.00363788269036,94.50555585480828,335.55311106454883,-241.04755520974055,0.6532627517670264,0.9774813806446762,-0.32421862887764974,273381,12002,261379,1807,1807,0
stronger_protocols,expanded_protocol_family,gated_burst_30s_10uA,1,30.0,10.0,gated_burst,correlated,16,0.875,22.18569381061725,0.0,0.0,0.012,100.0,-14.114054551257468,-21.714369959231348,7.600315407973881,-17.31818196380177,-22.954315981349865,5.636134017548095,0.25,0.25,0.0,335.3157865262783,503.93405703930364,-168.61827051302532,318.97049367029064,483.87559377920553,-164.9051001089149,0.45047915149976103,0.6368125796685937,-0.1863334281688327,911707,36110,875597,1798,1798,0
stronger_protocols,expanded_protocol_family,static_3s_5uA,3,3.0,5.0,static,shared,48,0.875,76.30150484186338,0.0,0.0,0.012,100.0,-1.2101533788339753,-1.2101533788339753,0.0,-1.209915293686611,-1.209915293686611,0.0,0.75,0.75,0.0,168.63802873857142,168.63802873857142,0.0,92.33718532616301,92.33718532616301,0.0,0.9999836529884484,0.9999836529884484,0.0,3538,3538,0,1840,1840,0
stronger_protocols,expanded_protocol_family,static_3s_10uA,3,3.0,10.0,static,shared,48,0.875,76.30150484186338,0.0,0.0,0.012,100.0,-1.2094198139455252,-1.2101533788339753,0.0007335648884501111,-1.2091830166892334,-1.209915293686611,0.0007322769973776566,0.75,0.75,0.0,168.5820566336828,168.63802873857142,-0.055972104888610374,92.28138181878957,92.33718532616301,-0.0558035073734402,0.9999794917152477,0.9999836529884484,-4.161273200686821e-06,3584,3538,46,1840,1840,0
stronger_protocols,expanded_protocol_family,static_3s_20uA_threshold_probe,3,3.0,20.0,static,shared,48,0.875,76.30150484186338,0.0,0.0,0.012,100.0,-0.35608005756216543,-1.2101533788339753,0.8540733212718099,-0.5048400640957498,-1.209915293686611,0.7050752295908613,0.75,0.75,0.0,103.47094907939002,168.63802873857142,-65.1670796591814,31.915324946470417,92.33718532616301,-60.42186037969259,0.943351984475125,0.9999836529884484,-0.05663166851332335,64970,3538,61432,1840,1840,0
stronger_protocols,expanded_protocol_family,chirp_10s_10uA,3,10.0,10.0,chirp,shared,48,0.875,76.30150484186338,0.0,0.0,0.012,100.0,-0.8829210067906381,-4.498030949046301,3.615109942255663,-0.9947434035896339,-4.73630703810499,3.7415636345153565,0.875,0.875,0.0,143.66970631836506,419.5080350848691,-275.83832876650405,123.64756881485118,345.9442963542901,-222.2967275394389,0.267498310506189,0.8948487476811443,-0.6273504371749553,791101,11922,779179,1868,1826,42
stronger_protocols,expanded_protocol_family,gated_burst_10s_10uA,3,10.0,10.0,gated_burst,correlated,48,0.875,76.30150484186338,0.0,0.0,0.012,100.0,-0.8261960665115424,-4.498030949046301,3.6718348825347586,-1.5260736993575872,-4.73630703810499,3.210233338747403,0.875,0.875,0.0,139.3415080129485,419.5080350848691,-280.1665270719206,78.54641984531672,345.9442963542901,-267.39787650897335,0.7418015535616749,0.8948487476811443,-0.15304719411946943,238416,11922,226494,1826,1826,0
stronger_protocols,expanded_protocol_family,gated_burst_30s_10uA,3,30.0,10.0,gated_burst,correlated,48,0.875,76.30150484186338,0.0,0.0,0.012,100.0,-2.3678439383847016,-5.574427726237179,3.206583787852477,-3.0676612776302585,-5.917592078306163,2.8499308006759048,0.5,0.5,0.0,256.9715605746684,501.63872899254136,-244.66716841787297,211.5897866295935,433.53100696556317,-221.94122033596966,0.3995658503317165,0.6463488487333326,-0.24678299840161616,860972,35617,825355,1777,1777,0
stronger_protocols,expanded_protocol_family,static_3s_5uA,4,3.0,5.0,static,shared,48,0.875,76.75862005574685,0.0,0.0,0.012,100.0,-1.210006800945031,-1.210006800945031,0.0,-1.21011318946463,-1.21011318946463,0.0,0.375,0.375,0.0,169.63707235656622,169.63707235656622,0.0,92.87913576941123,92.87913576941123,0.0,0.9999828555476095,0.9999828555476095,0.0,3504,3504,0,1826,1826,0
stronger_protocols,expanded_protocol_family,static_3s_10uA,4,3.0,10.0,static,shared,48,0.875,76.75862005574685,0.0,0.0,0.012,100.0,-1.209826170443927,-1.210006800945031,0.0001806305011040621,-1.2099253206151355,-1.21011318946463,0.00018786884949451021,0.375,0.375,0.0,169.6232074085613,169.63707235656622,-0.013864948004908229,92.86530212635667,92.87913576941123,-0.013833643054567801,0.9999820714771889,0.9999828555476095,-7.840704205896998e-07,3527,3504,23,1826,1826,0
stronger_protocols,expanded_protocol_family,static_3s_20uA_threshold_probe,4,3.0,20.0,static,shared,48,0.875,76.75862005574685,0.0,0.0,0.012,100.0,-1.3400960009086482,-1.210006800945031,-0.13008919996361712,-1.8813991180025411,-1.21011318946463,-0.6712859285379111,0.375,0.375,0.0,179.62253983005965,169.63707235656622,9.98546747349343,128.76921748691356,92.87913576941123,35.890081717502326,0.5513088487847094,0.9999828555476095,-0.44867400676290004,443071,3504,439567,1826,1826,0
stronger_protocols,expanded_protocol_family,chirp_10s_10uA,4,10.0,10.0,chirp,shared,48,0.875,76.75862005574685,0.0,0.0,0.012,100.0,-1.1740564587598619,-4.488441817847288,3.3143853590874257,-1.4733878916606842,-4.80170851048331,3.328320618822626,0.375,0.375,0.0,166.87757369986477,421.285220199701,-254.4076464998362,144.74512734550328,347.28631048306806,-202.5411831375648,0.23567229955254965,0.8923292765787183,-0.6566569770261687,980139,12029,968110,1758,1757,1
stronger_protocols,expanded_protocol_family,gated_burst_10s_10uA,4,10.0,10.0,gated_burst,correlated,48,0.875,76.75862005574685,0.0,0.0,0.012,100.0,-0.5683689043453917,-4.488441817847288,3.9200729135018957,-1.3055676113680872,-4.80170851048331,3.496140899115223,0.375,0.375,0.0,120.38583283746426,421.285220199701,-300.8993873622367,69.14007863923435,347.28631048306806,-278.14623184383373,0.6498931997641942,0.8923292765787183,-0.24243607681452406,283589,12029,271560,1757,1757,0
stronger_protocols,expanded_protocol_family,gated_burst_30s_10uA,4,30.0,10.0,gated_burst,correlated,48,0.875,76.75862005574685,0.0,0.0,0.012,100.0,-2.310636733483708,-5.561639647295607,3.2510029138118988,-3.2740982927613356,-6.043868910156665,2.76977061739533,0.5,0.5,0.0,254.11990717138542,503.6624046360499,-249.5424974646645,208.15182398894447,435.15951112703675,-227.00768713809228,0.4046338769483828,0.6370015603284604,-0.23236768338007763,818444,35775,782669,1851,1851,0
